0001-@	日	日	rì	Sonne, Tag, Datum, Japan	Sonne			Bild einer 日 Sonne, früher rund mit Punkt, jetzt eckig.	生日 = shēng rì = Geburtstag // 節日 = jié rì = Fest, Feiertag // 日記 = rì jì = Tagebuch
0075-@	大	大	1) dà / 2) dài	1) groß / 2) (groß)	groß	Person (人亻) + eins (一)	Person + eins	Eine 人 Person mit ausgestreckten 一 Armen bedeutet 大 groß.	大家 = dà jiā = alle [Personen] // 大概 = dà gài = ungefähr, wahrscheinlich; etwa // 大使館 = dà shǐ guǎn = Botschaft // 大夫 = dài fū = Arzt
0076-@	天	天	tiān	Tag, Himmel	Himmel/Tag	eins (一) + groß (大)	eins + groß	Die Steigerung von 人 Person ist 大 groß; dessen Steigerung (plus 一) ist 天 Himmel. Ursprünglich das Bild einer Person mit Armen und einem großen Kopf (Gott = Himmel?). Auch in der Bedeutung: 天 Tag.	今天 = jīn tiān = heute, der heutige Tag // 明天 = míng tiān = morgen, der morgige Tag // 天氣 = tiān qì = Wetter
0077-@	夫	夫	fū	(Gatte, Mann)	reifer-Mann	eins (一) + groß (大)	eins + groß	Ein 大 erwachsener Mann, mit einer 一 Haarnadel (oder mit Hut?): das ist ein 夫 reifer Mann.	丈夫 = zhàng fū = Ehemann, Gatte // 大夫 = dài fū = Arzt // 夫人 = fū rén = (verheiratete) Frau; [Anredeform mit dem Familiennamen der Frau]
0078-@	太	太	tài	höchst, sehr, zu, allzu	exzessiv	groß (大) + Tropfen* (丶)	groß + Tropfen*	Ein 丶Tropfen bringt etwas 大 Großes zum Überlaufen: 太 exzessiv.	太陽 = tài yáng = Sonne // 老太太 = lǎo tài tài = Oma, ältere Tante, Seniorin // 太太 = tài tài = Ehefrau; verheiratete Frau, [Anrede für verheiratete Frauen]
0079-1	亅				Haken*			Darstellung eines 亅 Hakens.	
0079-@	小	小	xiǎo	klein	klein	acht/teilen (八丷) + Haken* (亅)	acht/teilen + Haken*	Ein Gegenstand, der durch ein 亅 hakenförmiges Objekt 八 geteilt wird, muß 小 klein sein.	小姐 = xiǎo jiě = Fräulein, [Anrede für junge Frauen, Verkäuferinnen, Kellnerinnen] // 小時 = xiǎo shí = Stunde // 小心 = xiǎo xīn = vorsichtig, sorgfältig (sein)
0080-@	少	少	1) shǎo / 2) shào	1) wenig, gering / 2) (jung)	wenig	klein (小) + Strich* (丿)	klein + Strich*	Mit einem 丶 Tropfen wird aus 大 groß: 太 exzessiv. Genauso wird durch einen 丿 Strich aus 小 klein: 少 wenig.	多少 = duō shǎo = wie viel, wie viele // 減少 = jiǎn shǎo = etw. reduzieren, verringern // 缺少 = quē shǎo = fehlen, mangeln // 少年 = shào nián = Jugend, Junioren // 老少 = lǎo shào = Alt und Jung // 少林寺 = shào lín sì = Shaolin-Kloster (nahe Luoyang)
0081-@	尖	尖	jiān	spitz	spitz	klein (小) + groß (大)	klein + groß	Ein 大 großes Objekt, das nach oben hin immer 小 kleiner wird, ist 尖 spitz.	尖銳 = jiān ruì = scharf, heftig, intensiv, akut, schrill, grell // 尖端 = jiān duān = Scheitelpunkt, Spitze
0082-@	木	木	mù	Holz, Baum	Baum/Holz			Bild eines 木 Baums mit Stamm und Ästen. Der Unterteil kann als Wurzel interpretiert werden.	木頭 = mù tóu = Holz // 旋轉木馬 = xuán zhuǎn mù mǎ = Karussell // 木馬 = mù mǎ = Holzpferd, Schaukelpferd
0083-@	本	本	běn	[ZEW für Bücher], Grundlage, gegenwärtig, eigen, dies	Wurzel	Baum/Holz (木) + eins (一)	Baum/Holz + eins	Ein 木 Baum mit einer 一 Linie, um die 本 Wurzel hervorzuheben.	本來 = běn lái = ursprünglich, eigentlich, in Wirklichkeit // 筆記本 = bǐ jì běn = Notizbuch; Notebook [Computer] // 本子 = běn zi = Heft
0084-@	休	休	xiū	(sich ausruhen)	ausruhen	Person (人亻) + Baum/Holz (木)	Person + Baum/Holz	Eine 亻 Person unter/neben einem 木 Baum; sie 休 ruht sich aus.	休息 = xiū xī = sich ausruhen, eine Pause machen, freihaben // 退休金 = tuì xiū jīn = Rente, Pension [Geldzahlung] // 休假 = xiū jià = Urlaub machen
0085-@	東	东	dōng	Osten, östlich	Osten	Sonne (日) + Baum/Holz (木)	Sonne + Baum/Holz	Die 日 Sonne am Horizont. Dies wird deutlich durch die Darstellung der 日 Sonne unterhalb den Zweigen eines 木 Baums. Hier geht also die Sonne im 東 Osten auf.	東西 = dōng xī = Ding, Sache, Gegenstand // 東邊 = dōng biān = Osten, Ostseite // 東北 = dōng běi = Nordosten; Nordostchina, Mandschurei
0086-@	林	林	lín	(Wald, Forst)	Wald	Baum/Holz (木) + Baum/Holz (木)	Baum/Holz + Baum/Holz	Zwei 木木 Bäume sind ein 林 Wald.	森林 = sēn lín = Forst, Wald // 樹林 = shù lín = Wald, Hain, Gehölz // 樹林子 = shù lín zi = Wald
0087-@	閑	闲	xián	unbeschäftigt, leerstehend	unbeschäftigt	Tür (門) + Baum/Holz (木)	Tür + Baum/Holz	Durch die 門 Tür einen 木 Baum sehen, bedeutet meist den Beginn von 閑 Unbeschäftigtsein und Freizeit (vgl. auch 休!).	管閑事 = guǎn xián shì = sich in anderer Leute Angelegenheiten einmischen // 閑逛 = xián guàng = bummeln, schlendern, spazieren, umherwandern // 悠閑 = yōu xián = geruhsam, beschaulich, bedächtig
0088-@	材	材	cái	(Nutzholz, Material)	Material	Baum/Holz (木) + Talent/gerade (才)	Baum/Holz + Talent/gerade	Aus 木 Holz und dem 才 Talent, die richtige Holzauswahl zu treffen, wird gutes 材 (Bau-) Material.	材料 = cái liào = Material, Unterlagen // 教材 = jiào cái = Unterrichtsmaterial, Lehrstoff // 身材 = shēn cái = Figur, Gestalt, Form
0089-@	末	末	mò	Ende, zuletzt	Ende	eins (一) + Baum/Holz (木)	eins + Baum/Holz	一 Eine Linie markiert die höchsten Äste eines 木 Baums: das 末 Ende (des Baums) - übrigens ein ähnliches Konzept wie bei 本 Wurzel.	週末 = zhōu mò = Wochenende // 末尾 = mò wěi = Ende, Schluß
0090-@	杯	杯	bēi	Tasse, Becher, Glas, [ZEW]	Tasse	Baum/Holz (木) + nicht (不)	Baum/Holz + nicht	Jeder weiß: eine 杯 Tasse, ein Glas, ein Becher ist 不 nicht aus 木 Holz.	杯子 = bēi zi = Becher, Tasse, Glas // 乾杯 = gān bēi = Prost! Ex! // 世界杯 = shì jiè bēi = Weltmeisterschaft, World Cup
0091-@	李	李	lǐ	(Pflaume, Gepäck)	Pflaume	Baum/Holz (木) + Kind/Nomensuffix (子)	Baum/Holz + Kind/Nomensuffix	Der 李 Pflaumenbaum ist in China der 木 Baum der 子 Kinder.	行李箱 = xíng lǐ xiāng = großer Koffer; Kofferraum // 行李 = xíng lǐ = Gepäck // 張三李四 = zhāng sān lǐ sì = alle möglichen x-beliebigen Leute [Redensart]
0092-@	相	相	1) xiāng / 2) xiàng	1) einander / 2) Bild, Aussehen	einander/Aussehen	Baum/Holz (木) + Auge (目)	Baum/Holz + Auge	Ein 目 Auge späht hinter einem 木 Baum hervor: das 相 Aussehen wird untersucht. Die Aussprache der beiden Zeichenbestandteile sind 相 einander gleich (mù).	相同 = xiāng tóng = gleich, identisch, homo- // 相信 = xiāng xìn = vertrauen, glauben // 互相 = hù xiāng = einander, gegenseitig, gegeneinander // 照相機 = zhào xiàng jī = Fotoapparat // 照相 = zhào xiàng = fotografieren, Bilder machen // 相機 = xiàng jī = Kamera, Fotoapparat
0093-@	田	田	tián	Feld	Reisfeld			Bild eines kultivierten 田 Reisfelds von oben.	田野 = tián yě = Feld, Land, Flur // 田地 = tián dì = Feld, Acker, Boden // 農田 = nóng tián = Acker, Feld
0094-1	田				Frucht*			Darstellung einer 田 Frucht.	
0094-@	果	果	guǒ	Frucht, entscheiden, wenn	Baumfrucht/wirklich	Frucht* (田) + Baum/Holz (木)	Frucht* + Baum/Holz	Eine 田 Frucht (kein Reisfeld!) an einem 木 Baum: das Zeichen für 果 Frucht, Obst. In der Bedeutung erweitert: Ergebnis, wirklich.	蘋果 = píng guǒ = Apfel // 水果 = shuǐ guǒ = Obst // 果汁 = guǒ zhī = Fruchtsaft
0095-@	男	男	nán	männlich, Mann	Mann	Reisfeld (田) + Kraft (力)	Reisfeld + Kraft	力 Kraftvolle Arbeit auf dem 田 Reisfeld war Sache des 男 Mannes.	男人 = nán rén = Mann // 男生 = nán shēng = junger Mann, Schuljunge // 男廁所 = nán cè suǒ = Herrentoilette
0096-@	心	心	xīn	Herz, Seele	Herz/Gefühl			Bild eines pochenden 心 Herzens; auch Sinnbild für 心 Gefühle.	擔心 = dān xīn = sich sorgen // 放心 = fàng xīn = erleichtert, sich keine Sorgen machen, ruhig sein // 關心 = guān xīn = sich kümmern um, sorgen für, interessiert sein an
0097-1	囟甶田				Gehirn/Kopf*			囟, 甶 oder 田 stellt das Gehirn oder den Kopf eines Menschen dar.	
0097-@	思	思	sī	(denken, Idee)	denken	Gehirn/Kopf* (囟甶田) + Herz/Gefühl (心忄)	Gehirn/Kopf* + Herz/Gefühl	Zum 思 Denken braucht man 囟 (verändert zu 田) Gehirn und 心 Herz.	意思 = yì sī = Bedeutung, Sinn // 沒意思 = méi yì sī = uninteressant, langweilig, sinnlos (sein) // 思想 = sī xiǎng = Gedanken
0098-@	想	想	xiǎng	wollen, denken	möchten	einander/Aussehen (相) + Herz/Gefühl (心忄)	einander/Aussehen + Herz/Gefühl	Das 相 Aussehen des 心 Herzens untersuchen bedeutet 想 etwas möchten, fühlen, zu tun gedenken.	理想 = lǐ xiǎng = Ideal // 思想 = sī xiǎng = Gedanken // 感想 = gǎn xiǎng = Eindruck, Gefühl
0099-@	坐	坐	zuò	sitzen	sitzen	Person (人亻) + Person (人亻) + Erde (土)	Person + Person + Erde	Zwei 人人 Personen 坐 sitzen auf der 土 Erde.	乘坐 = chéng zuò = mit ... fahren, mit ... reisen // 坐班 = zuò bān = Arbeitszeiten einhalten // 不坐飛機去 = bù zuò fēi jī qù = nicht mit dem Flugzeug fliegen
0100-1	广				Schutzdach*			Bild eines Unterstandes oder eines 广 Schutzdachs.	
0100-@	座	座	zuò	Sitz, [ZEW für Berge und Baudenkmäler]	Sitz	Schutzdach* (广) + sitzen (坐)	Schutzdach* + sitzen	Ein 座 Sitz befindet sich meist in einer 广 Behausung und dient zum 坐 Sitzen.	座位 = zuò wèi = Sitzplatz // 講座 = jiǎng zuò = Kurs, Lehrgang, Vorlesung // 座談 = zuò tán = (informelle) Besprechung, Diskussion
0101-@	床	床	chuáng	Bett	Bett	Schutzdach* (广) + Baum/Holz (木)	Schutzdach* + Baum/Holz	床 Betten werden aus 木 Holz gemacht und befinden sich in 广 Behausungen.	起床 = qǐ chuáng = das Bett verlassen, aufstehen // 機床 = jī chuáng = Werkzeugmaschine, Maschinenbank // 床單 = chuáng dān = Bettuch
0102-1	厂				Abhang*			Bild eines 厂 Abhangs.	
0102-@	反	反	fǎn	umdrehen, entgegengesetzt, anti-	umdrehen	Abhang* (厂) + rechte-Hand/wieder (又)	Abhang* + rechte-Hand/wieder	Ein nicht näher erkennbares Objekt in Form eines 厂 Abhangs wird von der 又 rechten Hand 反 umgedreht.	反對 = fǎn duì = bekämpfen, widersprechen // 反映 = fǎn yìng = widerspiegeln, berichten // 相反 = xiāng fǎn = im Gegenteil, umgekehrt
0103-@	板	板	bǎn	Brett	Brett	Baum/Holz (木) + umdrehen (反)	Baum/Holz + umdrehen	Ein 板 Brett ist etwas aus 木 Holz, das man 反 umdrehen kann.	黑板 = hēi bǎn = Wandtafel // 主機板 = zhǔ jī bǎn = Hauptplatine, Motherboard [Computer] // 天花板 = tiān huā bǎn = Zimmerdecke
0104-@	片	片	1) piān / 2) piàn	1) (Foto, Film, Schallplatte) / 2) Scheibe, Tablett, Stück	Holzplanke			Bild der rechten Seite eines 木 Baumes, der in zwei Hälften zersägt wurde: eine 片 Holzplanke oder -scheibe.	片子 = piān zi = Film // 照片兒 = zhào piān r = Foto, Lichtbild // 照片 = zhào piàn = Foto, Lichtbild // 片面 = piàn miàn = einseitig // 明信片 = míng xìn piàn = Ansichtskarte
0105-@	版	版	bǎn	(Druckplatte), Auflage	Druckplatte	Holzplanke (片) + umdrehen (反)	Holzplanke + umdrehen	Eine 片 Holzplanke mit Drucklettern - eine 版 Druckplatte - wird beim Drucken 反 umgedreht.	出版 = chū bǎn = erscheinen, herauskommen; etw. herausbringen, veröffentlichen, herausgeben, verlegen, publizieren // 出版社 = chū bǎn shè = Verlag // 版本 = bǎn běn = Ausgabe, Edition, Version
0106-@	食	食	shí	essen	Kochgefäß			Bild eines 食 Kochgefäßes mit Füßen und Deckel.	食品 = shí pǐn = Lebens-, Nahrungsmittel // 食堂 = shí táng = Speisesaal, Kantine, Mensa // 副食 = fù shí = Lebensmittel (hier nur Nicht-Grundnahrungsmittel)
0107-@	飯	饭	fàn	Essen, gekochter Reis	gekochtes-Essen	Kochgefäß (食飠) + umdrehen (反)	Kochgefäß + umdrehen	飯 Gekochtes Essen entsteht in einem 食 Kochgefäß unter mehrmaligem 反 Umdrehen.	飯館 = fàn guǎn = Restaurant // 米飯 = mǐ fàn = gekochter Reis // 飯店 = fàn diàn = Hotel, Restaurant
0108-@	北	北	běi	nördlich	Norden			Das Zeichen zeigt zwei Personen Rücken an Rücken sitzend. Der 北 Norden wird in China traditionell als "Rückseite" betrachtet.	北京 = běi jīng = Peking // 北方 = běi fāng = Norden // 北邊 = běi biān = Norden, Nordseite
0109-@	千	千	qiān	tausend, viele	tausend	Person (人亻) + eins (一)	Person + eins	Das Zeichen besteht aus 亻 Person und 一 eins. Wahrscheinlich wurde es zum Zählen von Gruppen von je 千 tausend Personen verwendet.	千萬 = qiān wàn = unbedingt, auf jeden Fall; 1000-mal 10000: zehn Millionen // 一千 = yī qiān = eintausend // 一日千里 = yī rì qiān lǐ = mit Riesenschritten [Redensart]
0110-@	乖	乖	guāi	artig, brav	artig	tausend (千) + Norden (北)	tausend + Norden	Wenn 千 1000 Personen 北 Rücken an Rücken (bzw. im Norden) sitzen, sind die 乖 artig oder brav (denn sie führen keinen Krieg).	乖孩子 = guāi hái zi = braves Kind // 乖離 = guāi lí = abweichen // 乖乖 = guāi guāi = artig; kleiner Liebling
0111-@	百	百	bǎi	hundert	hundert	eins (一) + weiß (白)	eins + weiß	一 Eins deutet an, daß es sich um eine Zahl handelt - hier die 百 100, die ausgesprochen wird wie 白 weiß.	老百姓 = lǎo bǎi xìng = Bürger, Leute, Zivilbevölkerung // 百聞不如一見 = bǎi wén bù rú yī jiàn = einmal sehen ist besser als hundertmal hören [Redensart] // 百貨大樓 = bǎi huò dà lóu = Kaufhaus, Warenhaus
0112-@	西	西	xī	westlich	Westen/Nest/zwei-Hände			Bild eines Vogels im 西 Nest. Wenn die Sonne im 西 Westen untergeht, kehren die Vögel ins Nest zurück zum Schlafen. Als Komponente auch in der Bedeutung: 覀 zwei Hände.	東西 = dōng xī = Ding, Sache, Gegenstand // 西瓜 = xī guā = Wassermelone // 西紅柿 = xī hóng shì = Tomate
0113-@	古	古	gǔ	altertümlich	altertümlich	zehn (十) + Mund (口)	zehn + Mund	Das was durch 十 zehn 口 Münder (Generationen) weitergegeben wurde, ist zumeist 古 altertümlich.	古代 = gǔ dài = alte Zeiten, Altertum // 古老 = gǔ lǎo = alt, uralt, altertümlich (sein) // 蒙古人 = méng gǔ rén = Mongole
0114-1	囗				Umzäunung*			Eine 囗 Umzäunung.	
0114-@	固	固	gù	(entschlossen, fest)	solide	Umzäunung* (囗) + altertümlich (古)	Umzäunung* + altertümlich	Was 古 alt und durch eine 囗 Umzäunung geschützt ist, bleibt 固 solide.	鞏固 = gǒng gù = konsolidieren, befestigen; Konsolidierung // 固定 = gù dìng = fest, fix // 牢固 = láo gù = fest, robust
0115-@	個	个	1) gè / 2) ge	1) (jeder für sich, individuell) / 2) [allgemeines ZEW]	Einheit/Individuum	Person (人亻) + solide (固)	Person + solide	Das 固 Solide an einer 亻 Person: jeder ist ein Individuum, und jede Sache ist eine Einheit.	個子 = gè zi = Körpergröße // 個別 = gè bié = einzeln, individuell, ganz selten // 個人 = gè rén = Einzelperson, Individuum // 那個 = nà ge = jene, jener, jenes (dort) // 這個 = zhè ge = dieser, diese, dieses (hier) // 哪個 = nǎ ge = welcher, welche, welches?
0116-@	走	走	zǒu	gehen, fortgehen, laufen	gehen	Erde (土) + Fußabdruck/stoppen (止)	Erde + Fußabdruck/stoppen	Eine 大 Person mit Armen (verändert zu 土 Erde), darunter ein 止 Fußabdruck: zusammen: 走 gehen.	走道 = zǒu dào = Bürgersteig; gehen // 走馬看花 = zǒu mǎ kàn huā = etwas flüchtig ansehen, im Vorbeigehen betrachten [Redensart] // 走後門 = zǒu hòu mén = durch die Hintertür, durch Beziehungen
0117-@	來	来	lái	kommen, [Richtungskomplement]	kommen			Das Zeichen zeigt Früchte, die an Bäumen hängen - damit wird das 來 Kommen der Ernte angedeutet.	本來 = běn lái = ursprünglich, eigentlich, in Wirklichkeit // 從來 = cóng lái = immer, von jeher, von Anfang an; [verneint:] niemals // 後來 = hòu lái = später, dann, danach, [für Vergangenes]
0118-@	刀	刀	dāo	(Messer)	Messer			Bild eines 刀 Messers - die linke Seite ist die Klinge, die rechte der Griff. Als Komponente oft als 刂 dargestellt.	刀子 = dāo zi = Messer // 一刀兩斷 = yī dāo liǎng duàn = mit jemandem restlos brechen [Redensart] // 借刀殺人 = jiè dāo shā rén = durch fremde Hände töten [Redensart]
0119-@	召	召	zhào	(zusammenrufen)	zusammenrufen	Messer (刀刂) + Mund (口)	Messer + Mund	Nach dem 召 Zusammenrufen zum Zwecke des Gerichts wird 口 mündlich verurteilt und mit dem 刀 Messer vollstreckt.	號召 = hào zhào = Aufruf, Appell // 召開 = zhào kāi = einberufen, zusammenrufen, versammeln // 召集 = zhào jí = zusammenrufen, kommen lassen
0120-@	招	招	zhāo	winken, anstellen, zu sich ziehen	heranwinken	Hand (手扌) + zusammenrufen (召)	Hand + zusammenrufen	Mit der 扌 Hand 召 zusammenrufen - d. h. 招 heranwinken, (Personal) einstellen, (irgendwas) zu sich ziehen.	招聘 = zhāo pìn = anstellen, einstellen; Einstellung, Rekrutierung, Stellenangebot // 招待 = zhāo dài = (Gäste) empfangen, bewirten; (Kunden) bedienen // 招待會 = zhāo dài huì = Empfang
0121-@	火	火	huǒ	Feuer	Feuer			Bild von Flammen: 火 Feuer. Als untere Komponente mit 灬 abgekürzt.	火車站 = huǒ chē zhàn = Bahnhof // 火車 = huǒ chē = Eisenbahn, Zug // 火柴 = huǒ chái = Streichholz
0122-@	照	照	zhào	leuchten, fotografieren, in Richtung auf	leuchten	Sonne (日) + zusammenrufen (召) + Feuer (火灬)	Sonne + zusammenrufen + Feuer	日 Sonne und 灬 Feuer 召 zusammenrufen - das bedeutet: es 照 leuchtet und glänzt.	護照 = hù zhào = Paß; Reisepaß // 照顧 = zhào gù = aufpassen, sich kümmern, betreuen // 照片 = zhào piàn = Foto, Lichtbild
0123-@	超	超	chāo	super-, überschreiten	super	gehen (走) + zusammenrufen (召)	gehen + zusammenrufen	Jemand 走 geht zur 召 Zusammenrufung des Gerichts. Warum? Er hat das Gesetz 超 überschritten. Abgeleitet davon: super-, überholen.	超市 = chāo shì = Supermarkt [Abk.] // 超過 = chāo guò = übertreffen, überschreiten // 超級 = chāo jí = super-, hochgradig
0124-1	糸				Seide*			Bild eines Strangs 糸 Seide.	
0124-@	紅	红	hóng	rot, erröten	rot	Seide* (糸) + Arbeit (工)	Seide* + Arbeit	糸 Seide zu färben, kostet 工 Arbeit, aber dann wird sie 紅 rot.	西紅柿 = xī hóng shì = Tomate // 紅茶 = hóng chá = schwarzer Tee // 紅旗 = hóng qí = rote Flagge
0125-@	功	功	gōng	Verdienst, Leistung	Erfolg	Arbeit (工) + Kraft (力)	Arbeit + Kraft	工 Arbeit und 力 Kraft (-anstrengung) führen letztendlich zu 功 Erfolg, Errungenschaft, Verdienst.	成功 = chéng gōng = Erfolg; gelingen // 功夫 = gōng fū = Fähigkeit, Ausbildung, Übung, "Kung Fu" // 用功 = yòng gōng = fleißig, emsig, eifrig
0126-@	水	水	shuǐ	Wasser	Wasser			Darstellung von fließendem Wasser 水. Als (linke) Komponente mit drei 氵Wassertropfen geschrieben.	水果 = shuǐ guǒ = Obst // 水平 = shuǐ píng = Niveau, Standard // 汽水 = qì shuǐ = Limonade, Sprudel
0127-@	江	江	jiāng	Fluß	Strom/großer-Fluß	Wasser (水氵) + Arbeit (工)	Wasser + Arbeit	氵 Wasser, das 工 arbeitet und sich als 江 großer Fluß oder Strom in die Landschaft gräbt.	長江 = cháng jiāng = Yangzi (-jiang), [Fluß] // 揚子江 = yáng zi jiāng = [Flußname: Yangtsekiang] // 黑龍江 = hēi lóng jiāng = Heilongjiang, Amur, [Fluß]
0128-@	永	永	yǒng	ewig	ewig	Tropfen* (丶) + Wasser (水氵)	Tropfen* + Wasser	丶 Tropfen für Tropfen fließt 水 Wasser bis in alle 永 Ewigkeit.	永遠 = yǒng yuǎn = ewig, für immer // 永和 = yǒng hé = Yonghe, auch: Yungho [Stadt in Taiwan] // 永康 = yǒng kāng = Yongkang, auch: Yungkang [Stadt in Taiwan]
0129-@	及	及	jí	und, sowie, ausreichen, jmd. gerecht werden	erreichen	Person (人亻) + rechte-Hand/wieder (又)	Person + rechte-Hand/wieder	Eine 又 rechte Hand greift nach einer 人 Person: Sinnbild für 及 erreichen.	及時 = jí shí = rasch, rechtzeitig, zeitgerecht // 來不及 = lái bù jí = die Zeit reicht nicht aus; zu spät zu etwas // 來得及 = lái de jí = rechtzeitig
